time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/entropy_loss,train/value_loss,train/learning_rate,train/clip_range,train/loss,train/clip_fraction,train/std,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/approx_kl
1236,142,86,72.69,-24.7681941986084,176128,-26.70256428718567,124.50921518802643,0.00046905244444444443,0.2,30.56348419189453,0.439599609375,1.1685649156570435,850,0.784618616104126,-0.08184309614589438,0.066541865
1236,144,87,71.6,-26.025434494018555,178176,-26.724213886260987,103.56439945697784,0.0004686883555555556,0.2,30.19985580444336,0.45244140625,1.169535756111145,860,0.8416482210159302,-0.08188824999087956,0.06753425
1236,145,88,70.63,-27.47414779663086,180224,-26.75461938381195,104.99354496002198,0.00046832426666666666,0.2,31.785722732543945,0.4599609375,1.1731125116348267,870,0.8347523212432861,-0.0818731571373064,0.08091487
1237,147,89,71.17,-27.384729385375977,182272,-26.78469250202179,131.9622435092926,0.00046796017777777775,0.2,34.82994842529297,0.435693359375,1.173325538635254,880,0.8074886798858643,-0.08314603004837409,0.069724396
1236,149,90,70.43,-28.70085906982422,184320,-26.799190747737885,128.05745403766633,0.0004675960888888889,0.2,58.86068344116211,0.453662109375,1.1757341623306274,890,0.8016860485076904,-0.08100258790072985,0.07816041
1235,150,91,72.28,-26.4246826171875,186368,-26.84430855512619,147.36028397083282,0.000467232,0.2,30.091787338256836,0.448193359375,1.179636001586914,900,0.7555021643638611,-0.08259462218557019,0.06825099
1234,152,92,73.9,-23.89228057861328,188416,-26.88334913253784,146.5121874332428,0.00046686791111111113,0.2,40.87852478027344,0.399072265625,1.1810200214385986,910,0.7860360741615295,-0.08192063070600852,0.060574327
1230,154,93,75.28,-21.343358993530273,190464,-26.88940284252167,153.2849137544632,0.0004665038222222222,0.2,40.57311248779297,0.406689453125,1.1807148456573486,920,0.7674291133880615,-0.08117181181441993,0.0613559
1230,156,94,75.91,-20.559646606445312,192512,-26.88982856273651,137.6281548023224,0.00046613973333333337,0.2,56.23482894897461,0.445068359375,1.1809285879135132,930,0.7942430377006531,-0.08203026064438745,0.077900074
1229,158,95,72.65,-25.018522262573242,194560,-26.91317001581192,154.56501095294954,0.0004657756444444444,0.2,43.45994567871094,0.411865234375,1.1832256317138672,940,0.7692262530326843,-0.0819475189957302,0.05625952
1229,159,96,69.54,-29.50244140625,196608,-26.92374144792557,145.1354850769043,0.00046541155555555555,0.2,38.516361236572266,0.458935546875,1.1833648681640625,950,0.7866703271865845,-0.0805290826014243,0.080891356
